run_key,dataset,model,attack_id,attribute,target_items,selected_items,filler_items,budget,fake_users,unprivileged_group,privileged_group,precision,recall,ndcg,precision_m,recall_m,ndcg_m,precision_f,recall_f,ndcg_f,precision_y,recall_y,ndcg_y,precision_o,recall_o,ndcg_o,precision_gender_ratio,recall_gender_ratio,ndcg_gender_ratio,precision_age_ratio,recall_age_ratio,ndcg_age_ratio,mannwhitney_u,p_value
rk_f1003b81c358a91dd2b6,ml-100k,slim-u,cfair_favorite_push_random,age,10,102,,1.0,671,y,o,0.1335540838852097,0.2048547601527733,0.1881420637203928,,,,,,,,,,,,,,,,,,,,
rk_f918c6385e90bdbc3825,ml-100k,slim-u,cfair_favorite_push_random,age,10,102,,2.0,1342,y,o,0.1333333333333333,0.2045867059112092,0.1879131015460015,,,,,,,,,,,,,,,,,,,,
rk_93b39ef10ebdb0f99158,ml-100k,slim-u,cfair_favorite_push_random,age,10,102,,3.0,2013,y,o,0.1332229580573951,0.2044640667157223,0.1879315321599693,,,,,,,,,,,,,,,,,,,,
rk_a158cf9817a5411d4976,ml-100k,svd,cfair_favorite_push_random,age,10,102,,0.1,67,y,o,0.1173289183222958,0.1820552577175093,0.1615136823146013,,,,,,,,,,,,,,,,,,,,
rk_85dfb2f4120620c7b79a,ml-100k,svd,cfair_favorite_push_random,age,10,102,,0.25,168,y,o,0.1137969094922737,0.1767033708258873,0.1595147005328726,,,,,,,,,,,,,,,,,,,,
rk_ddbc665a6711b0838971,ml-100k,svd,cfair_favorite_push_random,age,10,102,,0.5,336,y,o,0.1088300220750551,0.1701899155541539,0.1548041773196906,,,,,,,,,,,,,,,,,,,,
rk_540359a731d07649fbb9,ml-100k,svd,cfair_favorite_push_random,age,10,102,,0.75,503,y,o,0.1076158940397351,0.1688382564210379,0.1527249189966652,,,,,,,,,,,,,,,,,,,,
rk_a709c01a7cedbf19b5dd,ml-100k,svd,cfair_favorite_push_random,age,10,102,,1.0,671,y,o,0.1055187637969094,0.1654661165422754,0.1515095245495524,,,,,,,,,,,,,,,,,,,,
rk_61420f0e8907a3b90889,ml-100k,svd,cfair_favorite_push_random,age,10,102,,2.0,1342,y,o,0.1012141280353201,0.1533808998212972,0.1460518885284135,,,,,,,,,,,,,,,,,,,,
rk_c13a61e91e5b5c09b93c,ml-100k,svd,cfair_favorite_push_random,age,10,102,,3.0,2013,y,o,0.099448123620309,0.1483544447948421,0.1430971430375774,,,,,,,,,,,,,,,,,,,,
rk_019bf29333f34ffd508f,ml-100k,mf,cfair_favorite_push_random,age,10,102,,0.1,67,y,o,0.0844370860927152,0.1318752408984197,0.1167519288737198,,,,,,,,,,,,,,,,,,,,
rk_ff62d3a64094272dda34,ml-100k,mf,cfair_favorite_push_random,age,10,102,,0.25,168,y,o,0.0805739514348785,0.1225275062195592,0.1129027804447031,,,,,,,,,,,,,,,,,,,,
rk_7c49679e2081fe44e482,ml-100k,mf,cfair_favorite_push_random,age,10,102,,0.5,336,y,o,0.0713024282560706,0.106124951820316,0.0933400534534807,,,,,,,,,,,,,,,,,,,,
rk_38c569303a659546a39a,ml-100k,mf,cfair_favorite_push_random,age,10,102,,0.75,503,y,o,0.0740618101545253,0.113197729422895,0.1071186493804056,,,,,,,,,,,,,,,,,,,,
rk_51820e58cd939ecd1615,ml-100k,mf,cfair_favorite_push_random,age,10,102,,1.0,671,y,o,0.0055187637969094,0.0099543606993938,0.0086662044313215,,,,,,,,,,,,,,,,,,,,
