dataset,model,model_kind,attack_id,attack,c_fairness,p_value,significant_p_0_05,p_value_bh_all,significant_bh_all,included_in_table
ml-1m,ease-u,base,cfair_influencer_top5_push_random,Top-5,0.9000325013653266,0.3680745751698137,False,0.7802203420346734,False,True
ml-1m,ease-u,base,cfair_influencer_top10_push_random,Top-10,0.8971994047284926,0.2239863152312222,False,0.6227365809330841,False,True
ml-1m,mf,base,cfair_influencer_push_random,C-Fair Influencer,0.8040000004894816,0.9427882540899998,False,0.9797737512884508,False,False
ml-1m,mf,base,cfair_sampling_push_random,Sampling,0.8183535408914571,0.9526415550989246,False,0.9797737512884508,False,False
ml-1m,mf,base,cfair_influencer_top1_push_random,Top-1,0.8166266126334575,0.8682995149564392,False,0.9627240130839279,False,False
ml-1m,mf,base,cfair_influencer_top5_push_random,Top-5,0.7787972222192745,0.8582888476322517,False,0.9627240130839279,False,False
ml-1m,mf,base,cfair_influencer_top10_push_random,Top-10,0.7426967936219262,0.3878417144335101,False,0.7847936868811842,False,False
ml-1m,mf-absolute-gender,fair,cfair_influencer_push_random,C-Fair Influencer,0.7992189324227987,0.2487054237694208,False,0.6522817376646227,False,False
ml-1m,mf-absolute-gender,fair,cfair_sampling_push_random,Sampling,0.7322904038583679,0.2385573361287613,False,0.640753175552458,False,False
ml-1m,mf-absolute-gender,fair,cfair_influencer_top1_push_random,Top-1,0.7202793775165918,0.1812189812946089,False,0.5787504513257331,False,False
ml-1m,mf-absolute-gender,fair,cfair_influencer_top5_push_random,Top-5,0.7410967737363572,0.2179526410050035,False,0.6227365809330841,False,False
ml-1m,mf-absolute-gender,fair,cfair_influencer_top10_push_random,Top-10,0.7748716485528238,0.1413148396137701,False,0.5131870723278086,False,False
ml-1m,mf-over-gender,fair,cfair_influencer_push_random,C-Fair Influencer,0.8033920105602558,0.1670042783116853,False,0.5482463681949264,False,True
ml-1m,mf-over-gender,fair,cfair_sampling_push_random,Sampling,0.8245027974986988,0.4481759391258301,False,0.8014811799214844,False,True
ml-1m,mf-over-gender,fair,cfair_influencer_top1_push_random,Top-1,0.7709392277388182,0.1525610599074763,False,0.5270128097677355,False,True
ml-1m,mf-over-gender,fair,cfair_influencer_top5_push_random,Top-5,0.7660758270760162,0.0216244185536346,True,0.22670761386874982,False,True
ml-1m,mf-over-gender,fair,cfair_influencer_top10_push_random,Top-10,0.739595264858548,0.0019520234534334,True,0.0634407622365855,False,True
